Red Fighter,Blue Fighter,Predicted Result,Probability
Sean Strickland,Nassourdine Imavov,win,0.5502129130725025
Warlley Alves,Nicolas Dalby,win,0.6859154698552449
Shamil Abdurakhimov,Jailton Almeida,loss,0.7536650369417452
Paul Craig,Johnny Walker,loss,0.5355986175690691
Gilbert Burns,Neil Magny,win,0.6791445216891112
Deiveson Figueiredo,Brandon Moreno,loss,0.5482222298370469
Glover Teixeira,Jamahal Hill,win,0.5242970008409877
JunYong Park,Denis Tiuliulin,win,0.7399632655773688
Dooho Choi,Kyle Nelson,win,0.584336865190487
Marcin Tybura,Blagoy Ivanov,win,0.5122207415729322
Da Woon Jung,Devin Clark,win,0.7005681708927539
Derrick Lewis,Serghei Spivac,loss,0.7517594724848414
Josh Culibao,Melsik Baghdasaryan,loss,0.5196710178724486
Tyson Pedro,Modestas Bukauskas,win,0.6971716189100783
Jimmy Crute,Alonzo Menifield,win,0.5871222338428004
Justin Tafa,Parker Porter,win,0.642397983065689
Jack Della Maddalena,Randy Brown,win,0.5720770531409807
Yair Rodriguez,Josh Emmett,win,0.63217089399316
Islam Makhachev,Alexander Volkanovski,win,0.5158110261420198
Ovince Saint Preux,Philipe Lins,loss,0.5068005764192208
Jim Miller,Alexander Hernandez,win,0.586360868912065
William Knight,Marcin Prachnio,loss,0.5100426423901598
Ode Osbourne,Charles Johnson,loss,0.6196684501452532
Augusto Sakai,Don'Tale Mayes,loss,0.572009820686424
Andre Muniz,Brendan Allen,win,0.5546793395670372
Ian Garry,Song Kenan,win,0.7605036740565188
Julian Marquez,Marc-Andre Barriault,loss,0.5492148907143817
Derek Brunson,Dricus Du Plessis,loss,0.6322192934877516
Cody Garbrandt,Trevin Jones,win,0.6996010749306086
Mateusz Gamrot,Jalin Turner,win,0.5008095782395886
Geoff Neal,Shavkat Rakhmonov,loss,0.6149059932018007
Jon Jones,Ciryl Gane,win,0.6753023413577092
Carlston Harris,Jared Gooden,loss,0.5534019749612967
Tyson Nam,Bruno Silva,loss,0.5124278158558271
Victor Henry,Tony Gravely,loss,0.5990609830607605
