Red Fighter,Blue Fighter,Predicted Result,Probability,Actual Result
Frankie Edgar,Chris Gutierrez,loss,0.5181957182528775,loss
Dustin Poirier,Michael Chandler,win,0.6937762217453433,win
Israel Adesanya,Alex Pereira,loss,0.775379316280617,loss
Ricky Turcios,Kevin Natividad,win,0.5320173055838902,win
Vince Morales,Miles Johns,loss,0.620617422309839,loss
Jack Della Maddalena,Danny Roberts,win,0.7396159765328878,win
Andre Fialho,Muslim Salikhov,win,0.5225650328324648,loss
Kennedy Nzechukwu,Ion Cutelaba,win,0.5518657799399808,win
Darren Elkins,Jonathan Pearce,loss,0.8305676569625707,loss
Michael Johnson,Marc Diakiese,loss,0.7190101685364721,win
Clay Guida,Scott Holtzman,loss,0.8281063947999241,win
Niko Price,Phil Rowe,win,0.5949980536818189,loss
Eryk Anders,Kyle Daukaus,win,0.506219955973785,win
Jack Hermansson,Roman Dolidze,win,0.8019693556481641,loss
Tai Tuivasa,Sergei Pavlovich,loss,0.5813245488930867,loss
Matheus Nicolau,Matt Schnell,win,0.5011114244899287,win
Bryan Barberena,Rafael Dos Anjos,loss,0.5198167190655129,loss
Stephen Thompson,Kevin Holland,loss,0.5069716824668613,win
Billy Quarantillo,Alexander Hernandez,win,0.500245160841994,win
Chris Curtis,Joaquin Buckley,loss,0.5720662482792942,win
Edmen Shahbazyan,Dalcha Lungiambula,win,0.8202977039891186,win
Jairzinho Rozenstruik,Chris Daukaus,win,0.6169749333214631,win
Bryce Mitchell,Ilia Topuria,win,0.8407046648645937,loss
Darren Till,Dricus Du Plessis,loss,0.7045860742748066,loss
Santiago Ponzinibbio,Alex Morono,win,0.6155208647513133,win
Paddy Pimblett,Jared Gordon,loss,0.6000855651343103,win
Jan Blachowicz,Magomed Ankalaev,loss,0.6434448727685715,draw
Sergey Morozov,Journey Newson,win,0.7359348056640581,win
David Dvorak,Manel Kape,loss,0.5965193876165031,loss
Said Nurmagomedov,Saidyokub Kakhramonov,loss,0.6997735470970604,win
Jake Matthews,Matthew Semelsberger,win,0.7270443550653285,loss
Cody Brundage,Michal Oleksiejczuk,win,0.623038782326358,loss
Drew Dober,Bobby Green,loss,0.5693834867167421,win
Alex Caceres,Julian Erosa,win,0.5056179052708266,win
Arman Tsarukyan,Damir Ismagulov,loss,0.5355193008627245,win
Jared Cannonier,Sean Strickland,loss,0.6436479873444569,win
Umar Nurmagomedov,Raoni Barcelos,win,0.7319560692457651,win
Punahele Soriano,Roman Kopylov,win,0.5751101751658776,loss
Dan Ige,Damon Jackson,win,0.8236576004971508,win
Sean Strickland,Nassourdine Imavov,loss,0.6196428376215664,win
Warlley Alves,Nicolas Dalby,win,0.6861164358268707,loss
Shamil Abdurakhimov,Jailton Almeida,loss,0.8075981302804921,loss
Paul Craig,Johnny Walker,loss,0.6001864753659513,loss
Gilbert Burns,Neil Magny,win,0.7597754254964844,win
Deiveson Figueiredo,Brandon Moreno,win,0.5023121080009819,loss
Glover Teixeira,Jamahal Hill,win,0.7021332003334386,loss
JunYong Park,Denis Tiuliulin,win,0.8226325283895897,win
Dooho Choi,Kyle Nelson,loss,0.6900925402903855,draw
Marcin Tybura,Blagoy Ivanov,win,0.5214607874596241,win
Da Woon Jung,Devin Clark,win,0.6428610932415724,loss
Derrick Lewis,Serghei Spivac,loss,0.7347912579257845,loss
Josh Culibao,Melsik Baghdasaryan,loss,0.6382846269554937,win
Tyson Pedro,Modestas Bukauskas,win,0.7024292126853775,loss
Jimmy Crute,Alonzo Menifield,win,0.6976905276385031,draw
Justin Tafa,Parker Porter,win,0.6093806023447964,win
Jack Della Maddalena,Randy Brown,win,0.5675295938494024,win
Yair Rodriguez,Josh Emmett,win,0.6780398187232521,win
Islam Makhachev,Alexander Volkanovski,win,0.6429113168798971,win
Ovince Saint Preux,Philipe Lins,loss,0.538645477048018,loss
Jim Miller,Alexander Hernandez,loss,0.5057333794166461,loss
William Knight,Marcin Prachnio,loss,0.6211686099182862,loss
Ode Osbourne,Charles Johnson,loss,0.6347898988074354,win
Augusto Sakai,Don'Tale Mayes,loss,0.5366283486261669,win
Andre Muniz,Brendan Allen,win,0.7773573995814884,loss
Ian Garry,Song Kenan,win,0.6816193188815031,win
Julian Marquez,Marc-Andre Barriault,loss,0.5863038883352308,loss
Derek Brunson,Dricus Du Plessis,loss,0.6648780567204348,loss
Cody Garbrandt,Trevin Jones,win,0.8401047028886078,win
Mateusz Gamrot,Jalin Turner,win,0.5057576385082375,win
Geoff Neal,Shavkat Rakhmonov,loss,0.6255011008929293,loss
Jon Jones,Ciryl Gane,win,0.8406172607825528,win
Carlston Harris,Jared Gooden,loss,0.6185765283783726,win
Tyson Nam,Bruno Silva,win,0.5478536617290451,loss
Victor Henry,Tony Gravely,loss,0.612458536418311,win
Raphael Assuncao,Davey Grant,win,0.6448466347936982,loss
Mario Bautista,Guido Cannetti,win,0.8832505211309618,win
Said Nurmagomedov,Jonathan Martinez,loss,0.5965114824237324,loss
Nikita Krylov,Ryan Spann,win,0.7144282325942717,win
Alexander Volkov,Alexandr Romanov,win,0.5824586340081037,win
Petr Yan,Merab Dvalishvili,loss,0.7460200226570679,loss
Jai Herbert,Ludovit Klein,loss,0.619376398140157,draw
Jake Hadley,Malcolm Gordon,win,0.5815902459857656,win
Jack Shore,Makwan Amirkhani,win,0.8686347961413907,win
Marvin Vettori,Roman Dolidze,win,0.7237434753468238,win
Gunnar Nelson,Bryan Barberena,win,0.6305140972564219,win
Justin Gaethje,Rafael Fiziev,win,0.7369165402572325,win
Leon Edwards,Kamaru Usman,win,0.642845517931041,win
CJ Vergara,Daniel Lacerda,win,0.6083114270576327,win
Trevin Giles,Preston Parsons,win,0.5684984173239129,win
Daniel Pineda,Tucker Lutz,win,0.6225093767113146,win
Chidi Njokuani,Albert Duraev,loss,0.5954404450148583,loss
Nate Landwehr,Austin Lingo,win,0.6064594119328764,win
Marlon Vera,Cory Sandhagen,loss,0.5102886895683799,loss
Shayilan Nuerdanbieke,Steve Garcia,win,0.567808462783435,loss
Ignacio Bahamondes,Trey Ogden,win,0.5244098796354112,win
Chris Curtis,Kelvin Gastelum,win,0.6222995616572281,loss
Kevin Holland,Santiago Ponzinibbio,win,0.5437384201317059,win
Rob Font,Adrian Yanez,win,0.522890758982348,win
Gilbert Burns,Jorge Masvidal,win,0.7249143776376492,win
Alex Pereira,Israel Adesanya,win,0.5328667699122497,loss
Zak Cummings,Ed Herman,win,0.7125301425726894,win
Brandon Royval,Matheus Nicolau,loss,0.5427999844582058,win
Bill Algeo,TJ Brown,loss,0.5376546499092216,win
Clay Guida,Rafa Garcia,loss,0.6992608159681877,loss
Pedro Munhoz,Chris Gutierrez,loss,0.6189885843912443,win
Tanner Boser,Ion Cutelaba,win,0.775679648638236,loss
Dustin Jacoby,Azamat Murzakanov,win,0.5551499854109831,loss
Edson Barboza,Billy Quarantillo,loss,0.7177109420566704,win
Max Holloway,Arnold Allen,win,0.729734566418997,win
Brady Hiestand,Batgerel Danaa,win,0.5473975847216355,win
Rani Yahya,Montel Jackson,win,0.6289812624686407,loss
Ricky Glenn,Christos Giagos,win,0.6516504914119903,loss
Jeremiah Wells,Matthew Semelsberger,loss,0.5509284076831035,win
Bobby Green,Jared Gordon,win,0.5359210143345979,draw
Brad Tavares,Bruno Silva,win,0.5936305457704786,loss
Sergei Pavlovich,Curtis Blaydes,win,0.5686538320530533,win
Cody Durden,Charles Johnson,win,0.8294150679387653,win
Martin Buday,Jake Collier,win,0.5430699741406625,win
Marcos Rogerio de Lima,Waldo Cortes-Acosta,win,0.7001930629680369,win
Rodolfo Vieira,Cody Brundage,win,0.5216647185685271,win
Caio Borralho,Michal Oleksiejczuk,win,0.8070282240417296,win
Song Yadong,Ricky Simon,loss,0.7137992438381827,win
Kennedy Nzechukwu,Devin Clark,win,0.8120198812166121,win
Drew Dober,Matt Frevola,loss,0.5800761349609305,loss
Kron Gracie,Charles Jourdain,loss,0.6550604864260564,loss
Belal Muhammad,Gilbert Burns,win,0.738944902259455,win
Aljamain Sterling,Henry Cejudo,win,0.6826787541998421,win
Bryan Battle,Gabe Green,win,0.6055235701828763,win
Cody Stamann,Douglas Silva de Andrade,loss,0.537650245561563,loss
Matt Brown,Court McGee,loss,0.7550275854146574,win
Tim Means,Alex Morono,loss,0.5083795123707028,loss
Carlos Ulberg,Ihor Potieria,win,0.897378201979803,win
Daniel Rodriguez,Ian Garry,loss,0.5093264202453482,loss
Anthony Smith,Johnny Walker,win,0.6412566535550052,loss
Jairzinho Rozenstruik,Jailton Almeida,loss,0.6708103795806818,loss
Ilir Latifi,Rodrigo Nascimento,loss,0.6068766163631035,loss
Maheshate,Viacheslav Borshchev,loss,0.8047142436859512,loss
Diego Ferreira,Michael Johnson,win,0.7325246519480942,win
Andre Fialho,Joaquin Buckley,loss,0.7648818235042869,loss
Edmen Shahbazyan,Anthony Hernandez,loss,0.5019973655448275,loss
Philipe Lins,Maxim Grishin,win,0.6539899423144633,win
Andrei Arlovski,Don'Tale Mayes,win,0.5912176675742755,loss
Daniel Santos,Johnny Munoz,loss,0.6711929036417228,win
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,loss,0.5312255439958835,loss
Tim Elliott,Victor Altamirano,win,0.5039993656840407,win
Alex Caceres,Daniel Pineda,win,0.63982065134385,win
Kai Kara-France,Amir Albazi,loss,0.7129731319588473,loss
Aiemann Zahabi,Aoriqileng,win,0.6821844165561581,win
Nassourdine Imavov,Chris Curtis,win,0.6975699976446872,draw
Marc-Andre Barriault,Eryk Anders,win,0.6782394459717905,win
Dan Ige,Nate Landwehr,loss,0.5570765548372407,win
Mike Malott,Adam Fugitt,win,0.7650165698237986,win
Charles Oliveira,Beneil Dariush,loss,0.7921615562951448,win
Zac Pauga,Modestas Bukauskas,win,0.555689689122031,loss
Dan Argueta,Ronnie Lawrence,win,0.8841264599281683,draw
Nicolas Dalby,Muslim Salikhov,loss,0.5148931979325128,win
Arman Tsarukyan,Joaquim Silva,win,0.7721375412244671,win
Marvin Vettori,Jared Cannonier,win,0.8235751898966427,loss
Randy Brown,Wellington Turman,win,0.7857978343648472,win
Neil Magny,Phil Rowe,win,0.5343880270570621,win
Brendan Allen,Bruno Silva,win,0.6834672265272141,win
Josh Emmett,Ilia Topuria,loss,0.6558049272254994,loss
Alexandr Romanov,Blagoy Ivanov,win,0.8429510506206787,win
Kevin Lee,Rinat Fakhretdinov,loss,0.7303883845262827,loss
Max Griffin,Michael Morales,win,0.628971011341552,loss
Damir Ismagulov,Grant Dawson,win,0.595990575176138,loss
Jimmy Crute,Alonzo Menifield,win,0.6223068475006519,loss
Robbie Lawler,Niko Price,loss,0.8721985955858857,win
Jalin Turner,Dan Hooker,win,0.6457006353138794,loss
Robert Whittaker,Dricus Du Plessis,loss,0.7275725151191493,loss
Brandon Moreno,Alexandre Pantoja,win,0.6254998086358116,loss
Alexander Volkanovski,Yair Rodriguez,win,0.8104129072380063,win
Evan Elder,Genaro Valdez,win,0.6528745478454671,win
Tucker Lutz,Melsik Baghdasaryan,loss,0.8125889913085534,loss
Albert Duraev,JunYong Park,loss,0.5282553544303703,loss
Makhmud Muradov,Bryan Barberena,win,0.5282980423716361,win
Marc Diakiese,Joel Alvarez,loss,0.6524155384271562,loss
Lerone Murphy,Josh Culibao,loss,0.5634629874335193,win
Jai Herbert,Fares Ziam,loss,0.6866009417623108,loss
Paul Craig,Andre Muniz,loss,0.7061052477638657,win
Nathaniel Wood,Andre Fili,win,0.8394335199060529,win
Tom Aspinall,Marcin Tybura,win,0.8207971771208278,win
Matthew Semelsberger,Uros Medic,loss,0.5468882826424941,loss
Roman Kopylov,Claudio Ribeiro,win,0.7832087229614401,win
Michael Chiesa,Kevin Holland,win,0.5604750848118273,loss
Tony Ferguson,Bobby Green,loss,0.6467558510061505,loss
Derrick Lewis,Marcos Rogerio de Lima,loss,0.596885220767066,win
Jan Blachowicz,Alex Pereira,loss,0.626680840873159,loss
Dustin Poirier,Justin Gaethje,win,0.5296736172870491,loss
Cody Durden,Jake Hadley,win,0.6988310549812916,win
Billy Quarantillo,Damon Jackson,win,0.7552980069824828,win
Jeremiah Wells,Carlston Harris,win,0.6069438065494187,loss
Kyler Phillips,Raoni Barcelos,win,0.5470031993774055,win
Ignacio Bahamondes,Ludovit Klein,win,0.8651589389974198,loss
Tanner Boser,Aleksa Camur,win,0.5944561938236673,win
Dustin Jacoby,Kennedy Nzechukwu,win,0.671833696044653,win
Cory Sandhagen,Rob Font,win,0.6291986161559281,win
Josh Parisian,Martin Buday,win,0.5997921290370171,loss
Terrance McKinney,Mike Breeden,win,0.7597721298437992,win
Josh Fremd,Jamie Pickett,win,0.7780920829336908,win
AJ Dobson,Tafon Nchukwi,win,0.5681141986593089,win
Khalil Rountree Jr.,Chris Daukaus,win,0.5365636470832043,win
Cub Swanson,Hakeem Dawodu,win,0.6083652273165475,win
Vicente Luque,Rafael Dos Anjos,loss,0.5675882566730925,win
Andre Petroski,Gerald Meerschaert,win,0.7479790349092218,win
Brad Katona,Cody Gibson,win,0.7943555858555652,win
Kurt Holobaugh,Austin Hubbard,loss,0.5463360871877161,win
Gregory Rodrigues,Denis Tiuliulin,win,0.8270200338607309,win
Chris Weidman,Brad Tavares,win,0.6677818455304637,loss
Marlon Vera,Pedro Munhoz,win,0.5748891625546865,win
Da'Mon Blackshear,Mario Bautista,loss,0.527116906044302,loss
Neil Magny,Ian Garry,loss,0.5892294102430427,loss
Aljamain Sterling,Sean O'Malley,win,0.6112364168271841,loss
Chidi Njokuani,Michal Oleksiejczuk,loss,0.669610608156404,loss
Waldo Cortes-Acosta,Lukasz Brzeski,win,0.6500349247293514,win
Giga Chikadze,Alex Caceres,win,0.5797669423028584,win
Anthony Smith,Ryan Spann,win,0.7402577379023321,win
Max Holloway,Chan Sung Jung,win,0.8620840582272358,win
Ange Loosa,Rhys McKee,win,0.8885534876761636,win
Benoit Saint Denis,Thiago Moises,win,0.5159143842079255,win
Ciryl Gane,Serghei Spivac,loss,0.5401226439140642,win
Jamie Mullarkey,John Makdessi,win,0.8844794773363981,win
Carlos Ulberg,Da Woon Jung,win,0.860982918357354,win
Tyson Pedro,Anton Turkalj,win,0.7354569421930718,win
Tai Tuivasa,Alexander Volkov,loss,0.5740970525391988,loss
Israel Adesanya,Sean Strickland,loss,0.6535419752272665,loss
Roman Kopylov,Josh Fremd,win,0.590349168685409,win
Daniel Zellhuber,Christos Giagos,win,0.6088138517778557,win
Kevin Holland,Jack Della Maddalena,loss,0.7626828926110597,loss
Mohammed Usman,Jake Collier,win,0.5526991196311218,win
Jacob Malkoun,Cody Brundage,win,0.8048359508525381,loss
Tim Means,Andre Fialho,win,0.7992766621555047,win
Dan Argueta,Miles Johns,win,0.6779374939469882,draw
Ricardo Ramos,Charles Jourdain,loss,0.5025491839132316,loss
Bryan Battle,AJ Fletcher,win,0.6357941040032621,win
Bryce Mitchell,Dan Ige,win,0.7750971303645938,win
Rafael Fiziev,Mateusz Gamrot,win,0.6198940906596638,loss
Aoriqileng,Johnny Munoz,loss,0.5306242764111804,win
Alexander Hernandez,Bill Algeo,loss,0.5439442988345237,loss
Drew Dober,Ricky Glenn,win,0.681932221648423,win
Alex Morono,Joaquin Buckley,win,0.5193915004692127,loss
Joe Pyfer,Abdul Razak Alhassan,win,0.7232903464353067,win
Grant Dawson,Bobby Green,win,0.8025834283413855,loss
Chris Gutierrez,Alatengheili,win,0.5943008176516216,win
Darren Elkins,TJ Brown,win,0.5082327506836848,win
Christian Rodriguez,Cameron Saaiman,loss,0.6120003962975253,win
Andre Petroski,Michel Pereira,win,0.6631209924115179,loss
Jonathan Martinez,Adrian Yanez,win,0.5163854951720681,win
Sodiq Yusuff,Edson Barboza,win,0.7501530927024133,loss
Abu Azaitar,Sedriques Dumas,loss,0.7245678411606493,loss
Javid Basharat,Victor Henry,win,0.872068438592889,draw
Tim Elliott,Muhammad Mokaev,loss,0.568801527434216,loss
Magomed Ankalaev,Johnny Walker,win,0.789304023844887,draw
Kamaru Usman,Khamzat Chimaev,win,0.8430290843272031,loss
Islam Makhachev,Alexander Volkanovski,win,0.7727030366584144,win
Vitor Petrino,Modestas Bukauskas,loss,0.592453346743004,win
Rinat Fakhretdinov,Elizeu Zaleski dos Santos,win,0.8376213318980547,draw
Caio Borralho,Abus Magomedov,win,0.9066092868096194,win
Rodrigo Nascimento,Don'Tale Mayes,win,0.8616622635329546,win
Gabriel Bonfim,Nicolas Dalby,win,0.9036379867804804,loss
Jailton Almeida,Derrick Lewis,win,0.9220226493013238,win
John Castaneda,Kyung Ho Kang,loss,0.5680810267032029,win
Jared Gordon,Mark Madsen,win,0.7993479505501391,win
Nazim Sadykhov,Viacheslav Borshchev,win,0.7287928045376829,draw
Mateusz Rebecki,Roosevelt Roberts,win,0.8598274772771801,win
Diego Lopes,Pat Sabatini,loss,0.7429271577014854,win
Matt Frevola,Benoit Saint Denis,loss,0.883701830095739,loss
Sergei Pavlovich,Tom Aspinall,win,0.6379908298266139,loss
Jiri Prochazka,Alex Pereira,loss,0.601949382925091,loss
Trey Ogden,Nikolas Motta,win,0.5918153248503797,draw
Christian Leroy Duncan,Denis Tiuliulin,win,0.7004901096425354,win
Jonathan Pearce,Joanderson Brito,win,0.6312497134719827,loss
Chase Hooper,Jordan Leavitt,win,0.6337478357732681,win
Michael Morales,Jake Matthews,win,0.6956542652857702,win
Brendan Allen,Paul Craig,win,0.8694346919725411,win
Wellington Turman,Jared Gooden,win,0.5088968839992466,loss
Drakkar Klose,Joe Solecki,loss,0.5286284038495266,win
Punahele Soriano,Dustin Stoltzfus,loss,0.5607445197637759,loss
Clay Guida,Joaquim Silva,loss,0.6006852428188303,loss
Sean Brady,Kelvin Gastelum,win,0.8514281440562955,win
Rob Font,Deiveson Figueiredo,win,0.7465849907129674,loss
Jalin Turner,Bobby Green,loss,0.652787120010286,win
Beneil Dariush,Arman Tsarukyan,win,0.6059275467843345,loss
Tatsuro Taira,Carlos Hernandez,win,0.9213973955072048,win
Steve Garcia,Melquizael Costa,win,0.5763661441437239,win
JunYong Park,Andre Muniz,win,0.6893066608562315,loss
Tim Elliott,Sumudaerji,loss,0.6068490694489461,win
Nasrat Haqparast,Jamie Mullarkey,loss,0.7603193510152728,win
Anthony Smith,Khalil Rountree Jr.,win,0.5711314134279049,loss
Song Yadong,Chris Gutierrez,loss,0.5989365924903293,win
Andre Fili,Lucas Almeida,win,0.7980151853609695,win
Tagir Ulanbekov,Cody Durden,win,0.5709983276944791,win
Cody Garbrandt,Brian Kelleher,win,0.5884976971094186,win
Alonzo Menifield,Dustin Jacoby,loss,0.5739515993813945,win
Josh Emmett,Bryce Mitchell,loss,0.7365121809733163,win
Tony Ferguson,Paddy Pimblett,loss,0.6106150599344857,loss
Shavkat Rakhmonov,Stephen Thompson,win,0.9369442100327575,win
Alexandre Pantoja,Brandon Royval,win,0.664575547127235,win
Leon Edwards,Colby Covington,win,0.5332996140026653,win
